llm,package,run,run_number,total_surviving,predicted_equivalent,predicted_behavioral,equiv_rate_pct,ci_low_pct,ci_high_pct,confidence_interval
google_gemini-2.5-flash-thinking,spacl-core,run1,1,6,3,3,50.0,16.6667,83.3333,"(16.7%, 83.3%)"
google_gemini-2.5-flash-thinking,zip-a-folder,run1,1,1,0,1,0.0,0.0,0.0,"(0.0%, 0.0%)"
google_gemini-2.5-flash-thinking,Complex.js,run2,2,167,25,142,14.9701,9.5808,20.3593,"(9.6%, 20.4%)"
google_gemini-2.5-flash-thinking,countries-and-timezones,run2,2,8,3,5,37.5,12.5,75.0,"(12.5%, 75.0%)"
google_gemini-2.5-flash-thinking,node-jsonfile,run2,2,12,4,8,33.3333,8.3333,58.3333,"(8.3%, 58.3%)"
google_gemini-2.5-flash-thinking,pull-stream,run2,2,89,0,89,0.0,0.0,0.0,"(0.0%, 0.0%)"
google_gemini-2.5-flash-thinking,spacl-core,run2,2,6,3,3,50.0,16.6667,83.3333,"(16.7%, 83.3%)"
google_gemini-2.5-flash-thinking,zip-a-folder,run2,2,1,0,1,0.0,0.0,0.0,"(0.0%, 0.0%)"
google_gemini-2.5-flash-thinking,Complex.js,run3,3,167,25,142,14.9701,9.5808,20.3593,"(9.6%, 20.4%)"
google_gemini-2.5-flash-thinking,countries-and-timezones,run3,3,8,3,5,37.5,12.5,75.0,"(12.5%, 75.0%)"
google_gemini-2.5-flash-thinking,node-jsonfile,run3,3,12,4,8,33.3333,8.3333,58.3333,"(8.3%, 58.3%)"
google_gemini-2.5-flash-thinking,pull-stream,run3,3,89,0,89,0.0,0.0,0.0,"(0.0%, 0.0%)"
google_gemini-2.5-flash-thinking,spacl-core,run3,3,6,3,3,50.0,16.6667,83.3333,"(16.7%, 83.3%)"
google_gemini-2.5-flash-thinking,zip-a-folder,run3,3,1,0,1,0.0,0.0,0.0,"(0.0%, 0.0%)"
google_gemini-2.5-flash-thinking,Complex.js,run4,4,167,25,142,14.9701,9.5808,20.3593,"(9.6%, 20.4%)"
google_gemini-2.5-flash-thinking,countries-and-timezones,run4,4,8,3,5,37.5,12.5,75.0,"(12.5%, 75.0%)"
google_gemini-2.5-flash-thinking,node-jsonfile,run4,4,12,4,8,33.3333,8.3333,58.3333,"(8.3%, 58.3%)"
google_gemini-2.5-flash-thinking,pull-stream,run4,4,89,0,89,0.0,0.0,0.0,"(0.0%, 0.0%)"
google_gemini-2.5-flash-thinking,spacl-core,run4,4,6,3,3,50.0,16.6667,83.3333,"(16.7%, 83.3%)"
google_gemini-2.5-flash-thinking,zip-a-folder,run4,4,1,0,1,0.0,0.0,0.0,"(0.0%, 0.0%)"
google_gemini-2.5-flash-thinking,Complex.js,run5,5,167,25,142,14.9701,9.5808,20.3593,"(9.6%, 20.4%)"
google_gemini-2.5-flash-thinking,countries-and-timezones,run5,5,8,3,5,37.5,12.5,75.0,"(12.5%, 75.0%)"
google_gemini-2.5-flash-thinking,node-jsonfile,run5,5,12,4,8,33.3333,8.3333,58.3333,"(8.3%, 58.3%)"
google_gemini-2.5-flash-thinking,pull-stream,run5,5,89,0,89,0.0,0.0,0.0,"(0.0%, 0.0%)"
google_gemini-2.5-flash-thinking,spacl-core,run5,5,6,3,3,50.0,16.6667,83.3333,"(16.7%, 83.3%)"
google_gemini-2.5-flash-thinking,zip-a-folder,run5,5,1,0,1,0.0,0.0,0.0,"(0.0%, 0.0%)"
meta-llama_llama-3.3-70b-instruct,Complex.js,run1,1,454,40,414,8.8106,6.3877,11.4537,"(6.4%, 11.5%)"
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,run1,1,36,18,18,50.0,33.3333,66.6667,"(33.3%, 66.7%)"
meta-llama_llama-3.3-70b-instruct,node-jsonfile,run1,1,50,13,37,26.0,14.0,38.0,"(14.0%, 38.0%)"
meta-llama_llama-3.3-70b-instruct,pull-stream,run1,1,267,9,258,3.3708,1.4981,5.618,"(1.5%, 5.6%)"
meta-llama_llama-3.3-70b-instruct,spacl-core,run1,1,32,14,18,43.75,28.125,62.5,"(28.1%, 62.5%)"
meta-llama_llama-3.3-70b-instruct,zip-a-folder,run1,1,5,0,5,0.0,0.0,0.0,"(0.0%, 0.0%)"
meta-llama_llama-3.3-70b-instruct,Complex.js,run2,2,454,40,414,8.8106,6.3877,11.4537,"(6.4%, 11.5%)"
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,run2,2,36,18,18,50.0,33.3333,66.6667,"(33.3%, 66.7%)"
meta-llama_llama-3.3-70b-instruct,node-jsonfile,run2,2,50,13,37,26.0,14.0,38.0,"(14.0%, 38.0%)"
meta-llama_llama-3.3-70b-instruct,pull-stream,run2,2,267,9,258,3.3708,1.4981,5.618,"(1.5%, 5.6%)"
meta-llama_llama-3.3-70b-instruct,spacl-core,run2,2,32,14,18,43.75,28.125,62.5,"(28.1%, 62.5%)"
meta-llama_llama-3.3-70b-instruct,zip-a-folder,run2,2,5,0,5,0.0,0.0,0.0,"(0.0%, 0.0%)"
meta-llama_llama-3.3-70b-instruct,Complex.js,run3,3,454,40,414,8.8106,6.3877,11.4537,"(6.4%, 11.5%)"
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,run3,3,36,18,18,50.0,33.3333,66.6667,"(33.3%, 66.7%)"
meta-llama_llama-3.3-70b-instruct,node-jsonfile,run3,3,50,13,37,26.0,14.0,38.0,"(14.0%, 38.0%)"
meta-llama_llama-3.3-70b-instruct,pull-stream,run3,3,267,9,258,3.3708,1.4981,5.618,"(1.5%, 5.6%)"
meta-llama_llama-3.3-70b-instruct,spacl-core,run3,3,32,14,18,43.75,28.125,62.5,"(28.1%, 62.5%)"
meta-llama_llama-3.3-70b-instruct,zip-a-folder,run3,3,5,0,5,0.0,0.0,0.0,"(0.0%, 0.0%)"
meta-llama_llama-3.3-70b-instruct,Complex.js,run4,4,454,40,414,8.8106,6.3877,11.4537,"(6.4%, 11.5%)"
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,run4,4,36,18,18,50.0,33.3333,66.6667,"(33.3%, 66.7%)"
meta-llama_llama-3.3-70b-instruct,node-jsonfile,run4,4,50,13,37,26.0,14.0,38.0,"(14.0%, 38.0%)"
meta-llama_llama-3.3-70b-instruct,pull-stream,run4,4,267,9,258,3.3708,1.4981,5.618,"(1.5%, 5.6%)"
meta-llama_llama-3.3-70b-instruct,spacl-core,run4,4,32,14,18,43.75,28.125,62.5,"(28.1%, 62.5%)"
meta-llama_llama-3.3-70b-instruct,zip-a-folder,run4,4,5,0,5,0.0,0.0,0.0,"(0.0%, 0.0%)"
meta-llama_llama-3.3-70b-instruct,Complex.js,run5,5,454,40,414,8.8106,6.3877,11.4537,"(6.4%, 11.5%)"
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,run5,5,36,18,18,50.0,33.3333,66.6667,"(33.3%, 66.7%)"
meta-llama_llama-3.3-70b-instruct,node-jsonfile,run5,5,50,13,37,26.0,14.0,38.0,"(14.0%, 38.0%)"
meta-llama_llama-3.3-70b-instruct,pull-stream,run5,5,267,9,258,3.3708,1.4981,5.618,"(1.5%, 5.6%)"
meta-llama_llama-3.3-70b-instruct,spacl-core,run5,5,32,14,18,43.75,28.125,62.5,"(28.1%, 62.5%)"
meta-llama_llama-3.3-70b-instruct,zip-a-folder,run5,5,5,0,5,0.0,0.0,0.0,"(0.0%, 0.0%)"
meta-llama_llama-4-maverick,Complex.js,run1,1,311,22,289,7.074,4.5016,9.9678,"(4.5%, 10.0%)"
meta-llama_llama-4-maverick,countries-and-timezones,run1,1,22,12,10,54.5455,31.8182,72.7273,"(31.8%, 72.7%)"
meta-llama_llama-4-maverick,node-jsonfile,run1,1,17,5,12,29.4118,11.7647,52.9412,"(11.8%, 52.9%)"
meta-llama_llama-4-maverick,pull-stream,run1,1,144,3,141,2.0833,0.0,4.8611,"(0.0%, 4.9%)"
meta-llama_llama-4-maverick,spacl-core,run1,1,17,6,11,35.2941,11.7647,58.8235,"(11.8%, 58.8%)"
