model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,inputCostUsd,outputCostUsd,totalCostUsd,nMutants,medianAbsLevenshtein,q1AbsLevenshtein,q3AbsLevenshtein,medianNormLevenshtein,q1NormLevenshtein,q3NormLevenshtein
openai_gpt-4o-mini,pull-stream,1,run1,,351,1029,750,265,14,24,72.8862973760933,2.3323615160349855,25.75315840621963,68,452,240,58,1144.877,171725,70273,0.025758749999999997,0.0421638,0.06792255,750,6,4,9.75,0.7692307692307693,0.40294117647058825,0.9090909090909091
openai_gpt-4o-mini,spacl-core,1,run1,,134,387,249,130,8,15,64.34108527131784,3.875968992248062,33.59173126614987,90.71,205,21,0,901.775,137862,26412,0.0206793,0.0158472,0.0365265,249,6,4,11,0.46153846153846156,0.17857142857142858,0.7222222222222222
openai_gpt-4o-mini,zip-a-folder,1,run1,,49,144,96,47,1,3,66.66666666666666,2.083333333333333,32.63888888888889,94.79,21,5,70,955.675,65869,9947,0.00988035,0.005968199999999999,0.01584855,96,7.5,5,13,0.4575,0.18915343915343913,0.8571428571428571
openai_gpt-4o,Complex.js,1,run1,,490,1379,1200,178,1,91,87.01957940536622,6.598984771573605,12.907904278462654,59.83,718,482,0,352.54200000000003,,,,,,1200,4,2,6,0.4444444444444444,0.25,0.8
openai_gpt-4o,countries-and-timezones,1,run1,,106,309,259,45,5,9,83.81877022653723,2.912621359223301,14.563106796116504,87.26,226,33,0,271.076,,,,,,259,8,6,14,0.6086956521739131,0.38461538461538464,0.8603896103896104
openai_gpt-4o,node-jsonfile,1,run1,,68,197,157,40,0,7,79.69543147208121,3.5532994923857872,20.304568527918782,73.89,53,41,63,450.481,,,,,,157,9,6,18,0.6666666666666666,0.35294117647058826,0.8888888888888888
openai_gpt-4o,pull-stream,1,run1,,351,1039,787,245,7,14,75.74590952839269,1.3474494706448508,23.58036573628489,65.95,453,268,66,1259.172,,,,,,787,5,4,9,0.75,0.2857142857142857,0.9230769230769231
openai_gpt-4o,spacl-core,1,run1,,134,386,269,112,5,15,69.68911917098445,3.8860103626943006,29.015544041450774,89.24,224,27,0,1033.224,,,,,,269,6,3,10,0.38461538461538464,0.17857142857142858,0.7777777777777778
openai_gpt-4o,zip-a-folder,1,run1,,49,145,118,27,0,2,81.37931034482759,1.3793103448275863,18.620689655172416,95.76,27,5,86,1133.101,,,,,,118,8,4,13,0.5,0.21180555555555555,0.8333333333333334
qwen_qwen-2.5-coder-32b-instruct,Complex.js,1,run1,,490,1277,1091,186,0,110,85.43461237274863,8.613938919342209,14.565387627251368,62.97,687,404,0,323.762,790730,95129,0.5218818000000001,0.095129,0.6170108000000001,1091,4,2,10,0.6,0.32456140350877194,0.9090909090909091
qwen_qwen-2.5-coder-32b-instruct,countries-and-timezones,1,run1,,106,306,258,46,2,5,84.31372549019608,1.6339869281045754,15.032679738562091,92.64,239,19,0,240.331,82855,21849,0.0546843,0.021849,0.0765333,258,8,5.25,14,0.6609195402298851,0.3333333333333333,0.8986842105263158
qwen_qwen-2.5-coder-32b-instruct,node-jsonfile,1,run1,,68,195,180,15,0,5,92.3076923076923,2.564102564102564,7.6923076923076925,84.44,75,28,77,556.758,46288,13499,0.030550080000000004,0.013499,0.044049080000000004,180,7,4,11,0.6843891402714932,0.3160869565217391,0.8784722222222222
qwen_qwen-2.5-coder-32b-instruct,pull-stream,1,run1,,351,1014,829,179,6,22,81.75542406311637,2.1696252465483234,17.65285996055227,70.21,521,247,61,1224.234,171244,69176,0.11302104000000002,0.069176,0.18219704000000003,829,5,4,8,0.7777777777777778,0.3076923076923077,1
qwen_qwen-2.5-coder-32b-instruct,spacl-core,1,run1,,134,371,257,109,5,20,69.2722371967655,5.3908355795148255,29.380053908355798,94.98,227,12,0,1005.993,137199,26202,0.09055134,0.026202,0.11675334,257,6,3,10,0.4,0.16666666666666666,0.75
qwen_qwen-2.5-coder-32b-instruct,zip-a-folder,1,run1,,49,142,111,30,1,5,78.16901408450704,3.5211267605633805,21.12676056338028,95.5,21,5,85,1087.255,64743,10036,0.04273038,0.010036,0.05276638,111,10,4,16.5,0.5416666666666666,0.22680817610062892,0.7970588235294118
