model_a,model_b,metric,U,p_raw,delta,magnitude,p_holm
anthropic_claude-haiku-4.5,qwen_qwen-2.5-coder-32b-instruct,medianAbsLevenshtein,13.5,0.5113162268109432,-0.25,small,1.0
anthropic_claude-sonnet-4.5,deepseek_deepseek-chat-v3.1,medianAbsLevenshtein,13.5,0.5166629409488652,-0.25,small,1.0
anthropic_claude-sonnet-4.5,google_gemini-3.1-flash-lite,medianAbsLevenshtein,14.0,0.5640641396373036,-0.2222222222222222,small,1.0
anthropic_claude-sonnet-4.5,google_gemini-3.5-flash,medianAbsLevenshtein,12.5,0.4167462599180246,-0.3055555555555556,small,1.0
anthropic_claude-sonnet-4.5,meta-llama_llama-3.1-8b-instruct,medianAbsLevenshtein,1.0,0.007471721114744324,-0.9444444444444444,large,0.3362274501634946
anthropic_claude-sonnet-4.5,meta-llama_llama-3.3-70b-instruct,medianAbsLevenshtein,8.0,0.11878936515563002,-0.5555555555555556,large,1.0
anthropic_claude-sonnet-4.5,openai_gpt-4o,medianAbsLevenshtein,9.0,0.1666574703209076,-0.5,large,1.0
anthropic_claude-sonnet-4.5,openai_gpt-4o-mini,medianAbsLevenshtein,8.0,0.11811126886899105,-0.5555555555555556,large,1.0
anthropic_claude-sonnet-4.5,qwen_qwen-2.5-coder-32b-instruct,medianAbsLevenshtein,9.5,0.19302930133511176,-0.4722222222222222,medium,1.0
deepseek_deepseek-chat-v3.1,google_gemini-3.1-flash-lite,medianAbsLevenshtein,19.5,0.8695757522710351,0.08333333333333333,negligible,1.0
deepseek_deepseek-chat-v3.1,google_gemini-3.5-flash,medianAbsLevenshtein,17.5,1.0,-0.027777777777777776,negligible,1.0
deepseek_deepseek-chat-v3.1,meta-llama_llama-3.1-8b-instruct,medianAbsLevenshtein,4.0,0.02805133375829659,-0.7777777777777778,large,1.0
deepseek_deepseek-chat-v3.1,meta-llama_llama-3.3-70b-instruct,medianAbsLevenshtein,10.5,0.2572801771541815,-0.4166666666666667,medium,1.0
deepseek_deepseek-chat-v3.1,openai_gpt-4o,medianAbsLevenshtein,12.5,0.4159064593170644,-0.3055555555555556,small,1.0
deepseek_deepseek-chat-v3.1,openai_gpt-4o-mini,medianAbsLevenshtein,11.0,0.29283365264601635,-0.3888888888888889,medium,1.0
deepseek_deepseek-chat-v3.1,qwen_qwen-2.5-coder-32b-instruct,medianAbsLevenshtein,13.5,0.5166629409488652,-0.25,small,1.0
google_gemini-3.1-flash-lite,google_gemini-3.5-flash,medianAbsLevenshtein,15.5,0.7374413586294356,-0.1388888888888889,negligible,1.0
google_gemini-3.1-flash-lite,meta-llama_llama-3.1-8b-instruct,medianAbsLevenshtein,3.0,0.01586081713466869,-0.8333333333333334,large,0.6891875602874938
google_gemini-3.1-flash-lite,meta-llama_llama-3.3-70b-instruct,medianAbsLevenshtein,10.5,0.2572801771541815,-0.4166666666666667,medium,1.0
google_gemini-3.1-flash-lite,openai_gpt-4o,medianAbsLevenshtein,11.0,0.29197030023362924,-0.3888888888888889,medium,1.0
google_gemini-3.1-flash-lite,openai_gpt-4o-mini,medianAbsLevenshtein,10.5,0.25642920468772246,-0.4166666666666667,medium,1.0
google_gemini-3.1-flash-lite,qwen_qwen-2.5-coder-32b-instruct,medianAbsLevenshtein,12.5,0.41336564895895,-0.3055555555555556,small,1.0
