model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,inputCostUsd,outputCostUsd,totalCostUsd,costPerCandidate,costPerValid,costPerUnique,costPerSurvivor,costPerNonEquivSurvivor,costPerMutationScorePoint,predictedEquivalent,nonEquivSurvivors
openai_gpt-4o-mini,Complex.js,1,run1,,490,1395,1065,311,19,75,76.34408602150538,5.376344086021505,22.293906810035843,62.63,667,398,0,280,788189,96125,0.11822835,0.057675,0.17590334999999999,0.00012609559139784945,0.00016516746478873238,0.0001776801515151515,0.000441968216080402,0.00047285846774193545,0.0028086116876896053,26,372
openai_gpt-4o-mini,countries-and-timezones,1,run1,,106,308,224,81,3,10,72.72727272727273,3.2467532467532463,26.2987012987013,86.16,193,31,0,211.387,82293,21936,0.012343950000000001,0.0131616,0.025505550000000002,0.00008281022727272728,0.00011386406250000001,0.00011918481308411215,0.0008227596774193549,0.0063763875000000005,0.0002960254178272981,27,4
openai_gpt-4o-mini,node-jsonfile,1,run1,,68,197,156,41,0,7,79.18781725888326,3.5532994923857872,20.812182741116754,80.77,61,30,65,470.422,46918,13586,0.0070377,0.0081516,0.0151893,0.00007710304568527918,0.00009736730769230769,0.00010194161073825503,0.0005063099999999999,0.000607572,0.00018805620898848584,5,25
openai_gpt-4o-mini,pull-stream,1,run1,,351,1029,750,265,14,24,72.8862973760933,2.3323615160349855,25.75315840621963,68,452,240,58,1144.877,171725,70273,0.025758749999999997,0.0421638,0.06792255,0.00006600830903790087,0.0000905634,0.00009355723140495867,0.000283010625,0.00028659303797468354,0.0009988610294117647,3,237
openai_gpt-4o-mini,spacl-core,1,run1,,134,387,249,130,8,15,64.34108527131784,3.875968992248062,33.59173126614987,90.71,205,21,0,901.775,137862,26412,0.0206793,0.0158472,0.0365265,0.00009438372093023257,0.00014669277108433736,0.00015609615384615385,0.001739357142857143,0.003043875,0.00040267335464667627,9,12
openai_gpt-4o-mini,zip-a-folder,1,run1,,49,144,96,47,1,3,66.66666666666666,2.083333333333333,32.63888888888889,94.79,21,5,70,955.675,65869,9947,0.00988035,0.005968199999999999,0.01584855,0.00011005937499999999,0.00016508906249999999,0.00017041451612903225,0.00316971,0.00316971,0.0001671964342230193,0,5
openai_gpt-4o,Complex.js,1,run1,,490,1379,1200,178,1,91,87.01957940536622,6.598984771573605,12.907904278462654,59.83,718,482,0,352.54200000000003,788189,100148,1.9704725,1.00148,2.9719525,0.002155150471356055,0.002476627083333333,0.0026798489630297565,0.006165876556016597,0.00702589243498818,0.04967328263413004,59,423
openai_gpt-4o,countries-and-timezones,1,run1,,106,309,259,45,5,9,83.81877022653723,2.912621359223301,14.563106796116504,87.26,226,33,0,271.076,82293,21954,0.2057325,0.21954,0.42527250000000005,0.0013762864077669905,0.0016419787644787647,0.0017010900000000002,0.012887045454545457,0.02025107142857143,0.00487362479944992,12,21
openai_gpt-4o,node-jsonfile,1,run1,,68,197,157,40,0,7,79.69543147208121,3.5532994923857872,20.304568527918782,73.89,53,41,63,450.481,46918,13601,0.11729500000000001,0.13601,0.253305,0.0012858121827411168,0.001613407643312102,0.0016887,0.006178170731707317,0.00791578125,0.003428136419001218,9,32
openai_gpt-4o,pull-stream,1,run1,,351,1039,787,245,7,14,75.74590952839269,1.3474494706448508,23.58036573628489,65.95,453,268,66,1259.172,171725,70978,0.4293125,0.70978,1.1390924999999998,0.0010963354186717996,0.0014473856416772552,0.0014735996119016816,0.004250345149253731,0.004347681297709923,0.017272062168309323,6,262
openai_gpt-4o,spacl-core,1,run1,,134,386,269,112,5,15,69.68911917098445,3.8860103626943006,29.015544041450774,89.24,224,27,0,1033.224,137862,26479,0.34465500000000004,0.26478999999999997,0.609445,0.0015788730569948188,0.0022655947955390336,0.0023993897637795275,0.022572037037037036,0.03207605263157895,0.006829280591662932,8,19
openai_gpt-4o,zip-a-folder,1,run1,,49,145,118,27,0,2,81.37931034482759,1.3793103448275863,18.620689655172416,95.76,27,5,86,1133.101,65869,10082,0.1646725,0.10082,0.2654925,0.0018309827586206898,0.0022499364406779665,0.002288728448275862,0.05309850000000001,0.05309850000000001,0.0027724780701754385,0,5
qwen_qwen-2.5-coder-32b-instruct,Complex.js,1,run1,,490,1277,1091,186,0,110,85.43461237274863,8.613938919342209,14.565387627251368,62.97,687,404,0,323.762,790730,95129,0.5218818000000001,0.095129,0.6170108000000001,0.00048317212216131565,0.0005655461044912925,0.0006289610601427116,0.0015272544554455448,0.0016721159891598919,0.009798488168969352,35,369
qwen_qwen-2.5-coder-32b-instruct,countries-and-timezones,1,run1,,106,306,258,46,2,5,84.31372549019608,1.6339869281045754,15.032679738562091,92.64,239,19,0,240.331,82855,21849,0.0546843,0.021849,0.0765333,0.00025010882352941174,0.0002966406976744186,0.000302503162055336,0.004028068421052631,0.006377775,0.000826136658031088,7,12
qwen_qwen-2.5-coder-32b-instruct,node-jsonfile,1,run1,,68,195,180,15,0,5,92.3076923076923,2.564102564102564,7.6923076923076925,84.44,75,28,77,556.758,46288,13499,0.030550080000000004,0.013499,0.044049080000000004,0.00022589271794871797,0.0002447171111111111,0.0002517090285714286,0.0015731814285714287,0.002002230909090909,0.0005216612979630508,6,22
qwen_qwen-2.5-coder-32b-instruct,pull-stream,1,run1,,351,1014,829,179,6,22,81.75542406311637,2.1696252465483234,17.65285996055227,70.21,521,247,61,1224.234,171244,69176,0.11302104000000002,0.069176,0.18219704000000003,0.00017968149901380673,0.00021977930036188182,0.00022577080545229248,0.0007376398380566803,0.0007436613877551022,0.00259502976783934,2,245
qwen_qwen-2.5-coder-32b-instruct,spacl-core,1,run1,,134,371,257,109,5,20,69.2722371967655,5.3908355795148255,29.380053908355798,94.98,227,12,0,1005.993,137199,26202,0.09055134,0.026202,0.11675334,0.0003146990296495957,0.00045429315175097277,0.0004926301265822785,0.009729445,0.01945889,0.0012292413139608337,6,6
qwen_qwen-2.5-coder-32b-instruct,zip-a-folder,1,run1,,49,142,111,30,1,5,78.16901408450704,3.5211267605633805,21.12676056338028,95.5,21,5,85,1087.255,64743,10036,0.04273038,0.010036,0.05276638,0.00037159422535211267,0.0004753727927927928,0.0004977960377358491,0.010553276,0.010553276,0.0005525275392670157,0,5
