model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,totalCostUsd,nMutants,medianAbsLevenshtein,q1AbsLevenshtein,q3AbsLevenshtein,medianNormLevenshtein,q1NormLevenshtein,q3NormLevenshtein
google_gemini-2.5-flash-thinking,node-jsonfile,2,run2,,68,68,67,1,0,2,98.52941176470588,2.941176470588235,1.4705882352941175,82.09,23,12,32,225.99099999999999,50578,16732,0.057003399999999996,67,7,3.5,8,0.5714285714285714,0.32,1
google_gemini-2.5-flash-thinking,pull-stream,2,run2,,351,352,292,60,0,4,82.95454545454545,1.1363636363636365,17.045454545454543,69.52,176,89,27,473.634,185351,86332,0.27143530000000005,292,4,2.75,6,0.75,0.25,1
google_gemini-2.5-flash-thinking,spacl-core,2,run2,,134,131,99,31,1,3,75.57251908396947,2.2900763358778624,23.66412213740458,92.55,87,7,0,377.891,150586,32970,0.1276008,99,5,2,8,0.375,0.1471861471861472,0.75
google_gemini-2.5-flash-thinking,zip-a-folder,2,run2,,49,49,45,3,1,1,91.83673469387756,2.0408163265306123,6.122448979591836,97.78,10,1,34,470.297,73738,12057,0.0522639,45,6,4,13,0.4666666666666667,0.2,0.8636363636363636
google_gemini-2.5-flash-thinking,Complex.js,3,run3,,490,471,418,53,0,20,88.74734607218684,4.246284501061571,11.252653927813164,60.05,251,167,0,132.067,894841,120449,0.5695748,418,2,1,4,0.4,0.18636363636363637,0.8
google_gemini-2.5-flash-thinking,countries-and-timezones,3,run3,,106,104,100,4,0,2,96.15384615384616,1.9230769230769231,3.8461538461538463,92,92,8,0,109.27000000000001,93198,26080,0.09315939999999999,100,7,5,9,0.5590277777777778,0.3458333333333333,0.8722222222222222
google_gemini-2.5-flash-thinking,node-jsonfile,3,run3,,68,68,67,1,0,2,98.52941176470588,2.941176470588235,1.4705882352941175,82.09,23,12,32,225.99099999999999,50578,16732,0.057003399999999996,67,7,3.5,8,0.5714285714285714,0.32,1
google_gemini-2.5-flash-thinking,pull-stream,3,run3,,351,352,292,60,0,4,82.95454545454545,1.1363636363636365,17.045454545454543,69.52,176,89,27,473.634,185351,86332,0.27143530000000005,292,4,2.75,6,0.75,0.25,1
google_gemini-2.5-flash-thinking,spacl-core,3,run3,,134,131,99,31,1,3,75.57251908396947,2.2900763358778624,23.66412213740458,92.55,87,7,0,377.891,150586,32970,0.1276008,99,5,2,8,0.375,0.1471861471861472,0.75
google_gemini-2.5-flash-thinking,zip-a-folder,3,run3,,49,49,45,3,1,1,91.83673469387756,2.0408163265306123,6.122448979591836,97.78,10,1,34,470.297,73738,12057,0.0522639,45,6,4,13,0.4666666666666667,0.2,0.8636363636363636
google_gemini-2.5-flash-thinking,Complex.js,4,run4,,490,471,418,53,0,20,88.74734607218684,4.246284501061571,11.252653927813164,60.05,251,167,0,132.067,894841,120449,0.5695748,418,2,1,4,0.4,0.18636363636363637,0.8
google_gemini-2.5-flash-thinking,countries-and-timezones,4,run4,,106,104,100,4,0,2,96.15384615384616,1.9230769230769231,3.8461538461538463,92,92,8,0,109.27000000000001,93198,26080,0.09315939999999999,100,7,5,9,0.5590277777777778,0.3458333333333333,0.8722222222222222
google_gemini-2.5-flash-thinking,node-jsonfile,4,run4,,68,68,67,1,0,2,98.52941176470588,2.941176470588235,1.4705882352941175,82.09,23,12,32,225.99099999999999,50578,16732,0.057003399999999996,67,7,3.5,8,0.5714285714285714,0.32,1
google_gemini-2.5-flash-thinking,pull-stream,4,run4,,351,352,292,60,0,4,82.95454545454545,1.1363636363636365,17.045454545454543,69.52,176,89,27,473.634,185351,86332,0.27143530000000005,292,4,2.75,6,0.75,0.25,1
google_gemini-2.5-flash-thinking,spacl-core,4,run4,,134,131,99,31,1,3,75.57251908396947,2.2900763358778624,23.66412213740458,92.55,87,7,0,377.891,150586,32970,0.1276008,99,5,2,8,0.375,0.1471861471861472,0.75
google_gemini-2.5-flash-thinking,zip-a-folder,4,run4,,49,49,45,3,1,1,91.83673469387756,2.0408163265306123,6.122448979591836,97.78,10,1,34,470.297,73738,12057,0.0522639,45,6,4,13,0.4666666666666667,0.2,0.8636363636363636
google_gemini-2.5-flash-thinking,Complex.js,5,run5,,490,471,418,53,0,20,88.74734607218684,4.246284501061571,11.252653927813164,60.05,251,167,0,132.067,894841,120449,0.5695748,418,2,1,4,0.4,0.18636363636363637,0.8
google_gemini-2.5-flash-thinking,countries-and-timezones,5,run5,,106,104,100,4,0,2,96.15384615384616,1.9230769230769231,3.8461538461538463,92,92,8,0,109.27000000000001,93198,26080,0.09315939999999999,100,7,5,9,0.5590277777777778,0.3458333333333333,0.8722222222222222
google_gemini-2.5-flash-thinking,node-jsonfile,5,run5,,68,68,67,1,0,2,98.52941176470588,2.941176470588235,1.4705882352941175,82.09,23,12,32,225.99099999999999,50578,16732,0.057003399999999996,67,7,3.5,8,0.5714285714285714,0.32,1
google_gemini-2.5-flash-thinking,pull-stream,5,run5,,351,352,292,60,0,4,82.95454545454545,1.1363636363636365,17.045454545454543,69.52,176,89,27,473.634,185351,86332,0.27143530000000005,292,4,2.75,6,0.75,0.25,1
google_gemini-2.5-flash-thinking,spacl-core,5,run5,,134,131,99,31,1,3,75.57251908396947,2.2900763358778624,23.66412213740458,92.55,87,7,0,377.891,150586,32970,0.1276008,99,5,2,8,0.375,0.1471861471861472,0.75
google_gemini-2.5-flash-thinking,zip-a-folder,5,run5,,49,49,45,3,1,1,91.83673469387756,2.0408163265306123,6.122448979591836,97.78,10,1,34,470.297,73738,12057,0.0522639,45,6,4,13,0.4666666666666667,0.2,0.8636363636363636
google_gemini-2.5-flash,Complex.js,1,run1,,490,1357,1138,202,17,84,83.86145910095799,6.190125276344879,14.885777450257923,60.63,689,448,1,360.497,894841,100839,0.5205498,1138,3,1,5,0.4444444444444444,0.2,0.8
google_gemini-2.5-flash,countries-and-timezones,1,run1,,106,296,249,46,1,18,84.12162162162163,6.081081081081082,15.54054054054054,89.96,224,25,0,263.477,93198,22370,0.0838844,249,8,5,14,0.6666666666666666,0.38461538461538464,0.9
google_gemini-2.5-flash,node-jsonfile,1,run1,,68,199,174,25,0,5,87.43718592964824,2.512562814070352,12.562814070351758,80.46,62,34,78,553.354,50578,14210,0.0506984,174,7,4,10.75,0.7052631578947368,0.3491048593350384,0.9288732394366197
google_gemini-2.5-flash,pull-stream,1,run1,,351,1028,820,204,4,20,79.76653696498055,1.9455252918287937,19.844357976653697,67.32,480,268,72,1330.401,185351,72581,0.2370578,820,5,4,8,0.8,0.2857142857142857,1
google_gemini-2.5-flash,spacl-core,1,run1,,134,378,271,105,2,18,71.6931216931217,4.761904761904762,27.77777777777778,91.05,234,23,0,1089.747,150586,29082,0.11788080000000001,271,5,3,9,0.4,0.2,0.7777777777777778
google_gemini-2.5-flash,zip-a-folder,1,run1,,49,140,119,21,0,7,85,5,15,98.32,27,2,90,1199.866,73738,10893,0.0493539,119,10,5,14,0.5405405405405406,0.25,0.8856209150326797
google_gemini-2.5-flash,Complex.js,2,run2,,490,1357,1138,202,17,84,83.86145910095799,6.190125276344879,14.885777450257923,60.63,689,448,1,360.497,894841,100839,0.5205498,1138,3,1,5,0.4444444444444444,0.2,0.8
google_gemini-2.5-flash,countries-and-timezones,2,run2,,106,296,249,46,1,18,84.12162162162163,6.081081081081082,15.54054054054054,89.96,224,25,0,263.477,93198,22370,0.0838844,249,8,5,14,0.6666666666666666,0.38461538461538464,0.9
google_gemini-2.5-flash,node-jsonfile,2,run2,,68,199,174,25,0,5,87.43718592964824,2.512562814070352,12.562814070351758,80.46,62,34,78,553.354,50578,14210,0.0506984,174,7,4,10.75,0.7052631578947368,0.3491048593350384,0.9288732394366197
google_gemini-2.5-flash,pull-stream,2,run2,,351,1028,820,204,4,20,79.76653696498055,1.9455252918287937,19.844357976653697,67.32,480,268,72,1330.401,185351,72581,0.2370578,820,5,4,8,0.8,0.2857142857142857,1
google_gemini-2.5-flash,spacl-core,2,run2,,134,378,271,105,2,18,71.6931216931217,4.761904761904762,27.77777777777778,91.05,234,23,0,1089.747,150586,29082,0.11788080000000001,271,5,3,9,0.4,0.2,0.7777777777777778
google_gemini-2.5-flash,zip-a-folder,2,run2,,49,140,119,21,0,7,85,5,15,98.32,27,2,90,1199.866,73738,10893,0.0493539,119,10,5,14,0.5405405405405406,0.25,0.8856209150326797
google_gemini-2.5-flash,Complex.js,3,run3,,490,1357,1138,202,17,84,83.86145910095799,6.190125276344879,14.885777450257923,60.63,689,448,1,360.497,894841,100839,0.5205498,1138,3,1,5,0.4444444444444444,0.2,0.8
google_gemini-2.5-flash,countries-and-timezones,3,run3,,106,296,249,46,1,18,84.12162162162163,6.081081081081082,15.54054054054054,89.96,224,25,0,263.477,93198,22370,0.0838844,249,8,5,14,0.6666666666666666,0.38461538461538464,0.9
google_gemini-2.5-flash,node-jsonfile,3,run3,,68,199,174,25,0,5,87.43718592964824,2.512562814070352,12.562814070351758,80.46,62,34,78,553.354,50578,14210,0.0506984,174,7,4,10.75,0.7052631578947368,0.3491048593350384,0.9288732394366197
google_gemini-2.5-flash,pull-stream,3,run3,,351,1028,820,204,4,20,79.76653696498055,1.9455252918287937,19.844357976653697,67.32,480,268,72,1330.401,185351,72581,0.2370578,820,5,4,8,0.8,0.2857142857142857,1
google_gemini-2.5-flash,spacl-core,3,run3,,134,378,271,105,2,18,71.6931216931217,4.761904761904762,27.77777777777778,91.05,234,23,0,1089.747,150586,29082,0.11788080000000001,271,5,3,9,0.4,0.2,0.7777777777777778
google_gemini-2.5-flash,zip-a-folder,3,run3,,49,140,119,21,0,7,85,5,15,98.32,27,2,90,1199.866,73738,10893,0.0493539,119,10,5,14,0.5405405405405406,0.25,0.8856209150326797
google_gemini-2.5-flash,Complex.js,4,run4,,490,1357,1138,202,17,84,83.86145910095799,6.190125276344879,14.885777450257923,60.63,689,448,1,360.497,894841,100839,0.5205498,1138,3,1,5,0.4444444444444444,0.2,0.8
google_gemini-2.5-flash,countries-and-timezones,4,run4,,106,296,249,46,1,18,84.12162162162163,6.081081081081082,15.54054054054054,89.96,224,25,0,263.477,93198,22370,0.0838844,249,8,5,14,0.6666666666666666,0.38461538461538464,0.9
